,title,source,Category,author,url,published
74,U.S. inspectors probe deadly Southwest jet engine explosion,ReutersUSNews,News,None,http://feeds.reuters.com/~r/Reuters/domesticNews/~3/EUxfAymsed4/u-s-inspectors-probe-deadly-southwest-jet-engine-explosion-idUSKBN1HO2K4,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=18, tm_hour=13, tm_min=18, tm_sec=48, tm_wday=2, tm_yday=108, tm_isdst=0)"
75,"Judge Rejects Trump Request To Sift Through Cohen Documents First, May Use Mediator",YahooNews,News,None,https://www.yahoo.com/news/cohen-loses-bid-block-review-224343418.html,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=16, tm_hour=22, tm_min=43, tm_sec=43, tm_wday=0, tm_yday=106, tm_isdst=0)"
76,1 Dead After Southwest Airlines Flight Suffers Engine Failure,YahooNews,News,None,https://www.yahoo.com/news/woman-partially-sucked-jet-during-185020016.html,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=18, tm_min=50, tm_sec=20, tm_wday=1, tm_yday=107, tm_isdst=0)"
77,Baboons Work Together To Escape From Biomedical Testing Facility,YahooNews,News,None,https://www.yahoo.com/news/baboons-together-escape-biomedical-testing-201637744.html,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=20, tm_min=16, tm_sec=37, tm_wday=1, tm_yday=107, tm_isdst=0)"
78,Democrats losing lead on Republicans in midterm election polls,YahooNews,News,None,https://www.yahoo.com/news/democrats-losing-lead-republicans-midterm-163700225.html,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=16, tm_hour=16, tm_min=37, tm_sec=0, tm_wday=0, tm_yday=106, tm_isdst=0)"
79,"Korean Air 'water rage' heiress suspended, faces criminal probe",YahooNews,News,None,https://www.yahoo.com/news/korean-air-water-rage-heiress-suspended-faces-criminal-063351364.html,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=6, tm_min=33, tm_sec=51, tm_wday=1, tm_yday=107, tm_isdst=0)"
80,"AP Explains: For Americans, big changes in travel to Cuba",YahooNews,News,None,https://www.yahoo.com/news/ap-explains-americans-big-changes-travel-cuba-172415987.html,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=16, tm_hour=18, tm_min=15, tm_sec=32, tm_wday=0, tm_yday=106, tm_isdst=0)"
81,"EPA Spending On Scott Pruitt&apos;s Soundproof Phone Booth Broke Federal Law, Government Watchdog Finds",YahooNews,News,None,https://www.yahoo.com/news/epa-spending-scott-pruitt-apos-154359639.html,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=16, tm_hour=15, tm_min=43, tm_sec=59, tm_wday=0, tm_yday=106, tm_isdst=0)"
82,Russian Reporter Maxim Borodin Dies After Mysterious Balcony Fall,YahooNews,News,None,https://www.yahoo.com/news/russian-reporter-maxim-borodin-dies-000422289.html,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=0, tm_min=4, tm_sec=22, tm_wday=1, tm_yday=107, tm_isdst=0)"
83,Israel hints it could hit Iran's 'air force' in Syria,YahooNews,News,None,https://www.yahoo.com/news/israel-hints-could-hit-irans-air-force-syria-153317907.html,"time.struct_time(tm_year=2018, tm_mon=4, tm_mday=17, tm_hour=15, tm_min=33, tm_sec=17, tm_wday=1, tm_yday=107, tm_isdst=0)"
